52
1|Test Employee|0|0|0|||1||
2|Employee_2|1|2|30000|emp2@example.com|+10000000000|1|2025-01-01|Active
3|Employee_3|2|3|30100|emp3@example.com|+10000000001|1|2025-01-01|Active
4|Employee_4|3|4|30200|emp4@example.com|+10000000002|1|2025-01-01|Active
5|Employee_5|4|5|30300|emp5@example.com|+10000000003|1|2025-01-01|Active
6|Employee_6|5|6|30400|emp6@example.com|+10000000004|1|2025-01-01|Active
7|Employee_7|6|2|30500|emp7@example.com|+10000000005|1|2025-01-01|Active
8|Employee_8|1|3|30600|emp8@example.com|+10000000006|1|2025-01-01|Active
9|Employee_9|2|4|30700|emp9@example.com|+10000000007|1|2025-01-01|Active
10|Employee_10|3|5|30800|emp10@example.com|+10000000008|1|2025-01-01|Active
11|Employee_11|4|6|30900|emp11@example.com|+10000000009|1|2025-01-01|Active
12|Employee_12|5|2|31000|emp12@example.com|+10000000010|1|2025-01-01|Active
13|Employee_13|6|3|31100|emp13@example.com|+10000000011|1|2025-01-01|Active
14|Employee_14|1|4|31200|emp14@example.com|+10000000012|1|2025-01-01|Active
15|Employee_15|2|5|31300|emp15@example.com|+10000000013|1|2025-01-01|Active
16|Employee_16|3|6|31400|emp16@example.com|+10000000014|1|2025-01-01|Active
17|Employee_17|4|2|31500|emp17@example.com|+10000000015|1|2025-01-01|Active
18|Employee_18|5|3|31600|emp18@example.com|+10000000016|1|2025-01-01|Active
19|Employee_19|6|4|31700|emp19@example.com|+10000000017|1|2025-01-01|Active
20|Employee_20|1|5|31800|emp20@example.com|+10000000018|1|2025-01-01|Active
21|Employee_21|2|6|31900|emp21@example.com|+10000000019|1|2025-01-01|Active
22|Employee_22|3|2|32000|emp22@example.com|+10000000020|1|2025-01-01|Active
23|Employee_23|4|3|32100|emp23@example.com|+10000000021|1|2025-01-01|Active
24|Employee_24|5|4|32200|emp24@example.com|+10000000022|1|2025-01-01|Active
25|Employee_25|6|5|32300|emp25@example.com|+10000000023|1|2025-01-01|Active
26|Employee_26|1|6|32400|emp26@example.com|+10000000024|1|2025-01-01|Active
27|Employee_27|2|2|32500|emp27@example.com|+10000000025|1|2025-01-01|Active
28|Employee_28|3|3|32600|emp28@example.com|+10000000026|1|2025-01-01|Active
29|Employee_29|4|4|32700|emp29@example.com|+10000000027|1|2025-01-01|Active
30|Employee_30|5|5|32800|emp30@example.com|+10000000028|1|2025-01-01|Active
31|Employee_31|6|6|32900|emp31@example.com|+10000000029|1|2025-01-01|Active
32|Employee_32|1|2|33000|emp32@example.com|+10000000030|1|2025-01-01|Active
33|Employee_33|2|3|33100|emp33@example.com|+10000000031|1|2025-01-01|Active
34|Employee_34|3|4|33200|emp34@example.com|+10000000032|1|2025-01-01|Active
35|Employee_35|4|5|33300|emp35@example.com|+10000000033|1|2025-01-01|Active
36|Employee_36|5|6|33400|emp36@example.com|+10000000034|1|2025-01-01|Active
37|Employee_37|6|2|33500|emp37@example.com|+10000000035|1|2025-01-01|Active
38|Employee_38|1|3|33600|emp38@example.com|+10000000036|1|2025-01-01|Active
39|Employee_39|2|4|33700|emp39@example.com|+10000000037|1|2025-01-01|Active
40|Employee_40|3|5|33800|emp40@example.com|+10000000038|1|2025-01-01|Active
41|Employee_41|4|6|33900|emp41@example.com|+10000000039|1|2025-01-01|Active
42|Employee_42|5|2|34000|emp42@example.com|+10000000040|1|2025-01-01|Active
43|Employee_43|6|3|34100|emp43@example.com|+10000000041|1|2025-01-01|Active
44|Employee_44|1|4|34200|emp44@example.com|+10000000042|1|2025-01-01|Active
45|Employee_45|2|5|34300|emp45@example.com|+10000000043|1|2025-01-01|Active
46|Employee_46|3|6|34400|emp46@example.com|+10000000044|1|2025-01-01|Active
47|Employee_47|4|2|34500|emp47@example.com|+10000000045|1|2026-08-01|Probation
48|Employee_48|5|3|34600|emp48@example.com|+10000000046|1|2026-08-01|Probation
49|Employee_49|6|4|34700|emp49@example.com|+10000000047|1|2026-08-01|Probation
50|Employee_50|1|5|34800|emp50@example.com|+10000000048|1|2026-08-01|Probation
51|rohith|2|1|15000|rohith@gmail.com|0987654321|1|2026-06-02|Active
52|ram|2|1|13000|ram21@gmail.com|7890123456|1|2026-12-02|Active
